category,subcategory,title,description,filterTag,dashboardURL,requestAccessURL,contactEmail,lastUpdated,ownerTeam,status
Product Solutions,Digital Channel,UPI & Payment Gateway Stats,"UPI transaction success rates, failure analysis, and payment gateway uptime by partner.",Specialized and Other,#,digital-access@company.com,digital-analytics@company.com,Jun 2026,Digital Analytics,Live
Product Solutions,Digital Channel,Customer Digital Experience Score,"Composite digital NPS and experience scores by channel, device type, and customer segment.",Relationship Intelligence,#,digital-access@company.com,digital-analytics@company.com,May 2026,Digital Analytics,Live
Product Solutions,Digital Channel,Digital Fraud Analytics,"Digital channel fraud attempts, detection rates, and false positive rates by fraud type.",Specialized and Other,#,digital-access@company.com,digital-analytics@company.com,Jun 2026,Digital Analytics,Live
Product Solutions,Global Clearing,Clearing Volume Dashboard,"Daily clearing volumes by currency, clearing system, and counterparty with trend analysis.",Business Performance,#,clearing-access@company.com,clearing-analytics@company.com,Jun 2026,Clearing Analytics,Live
Product Solutions,Global Clearing,Settlement Failure Monitor,"Failed settlements, root cause analysis, and resolution timelines by clearing system and currency.",Specialized and Other,#,clearing-access@company.com,clearing-analytics@company.com,Jun 2026,Clearing Analytics,Live
Product Solutions,Global Clearing,Intraday Liquidity Tracker,"Real-time intraday liquidity usage, peak times, and buffer adequacy across clearing accounts.",Specialized and Other,#,clearing-access@company.com,clearing-analytics@company.com,Jun 2026,Clearing Analytics,Live
Product Solutions,Global Clearing,Clearing Revenue Analytics,"Fee income from clearing services by client, currency corridor, and product type.",Business Performance,#,clearing-access@company.com,clearing-analytics@company.com,May 2026,Clearing Analytics,Live
Product Solutions,Global Clearing,Client Clearing Activity,"Client-level clearing volumes, instruction types, and SLA adherence for top clearing clients.",Relationship Intelligence,#,clearing-access@company.com,clearing-analytics@company.com,Jun 2026,Clearing Analytics,Live
Product Solutions,Global Clearing,CLS & Bilateral Settlement,"CLS-matched vs bilateral settlement volumes, netting efficiency, and counterparty exposure.",Specialized and Other,#,clearing-access@company.com,clearing-analytics@company.com,Jun 2026,Clearing Analytics,Live
Product Solutions,Global Clearing,Clearing Ops Productivity,"Straight-through processing rates, manual intervention ratios, and team productivity metrics.",Employee Performance,#,clearing-access@company.com,clearing-analytics@company.com,Apr 2026,Clearing Analytics,Live
Product Solutions,Global Clearing,Cross-border Payment Flows,"Cross-border payment corridor analysis by volume, value, currency, and correspondent bank.",Business Performance,#,clearing-access@company.com,clearing-analytics@company.com,Jun 2026,Clearing Analytics,Live
Product Solutions,Global Clearing,Regulatory Reporting Status,"Clearing-related regulatory reporting completeness, submission timelines, and exception tracking.",Specialized and Other,#,clearing-access@company.com,clearing-analytics@company.com,May 2026,Clearing Analytics,Live
Product Solutions,Global Clearing,Clearing System Uptime,"Availability metrics for clearing systems, planned vs unplanned downtime, and incident impact.",Specialized and Other,#,clearing-access@company.com,clearing-analytics@company.com,Jun 2026,Clearing Analytics,Live
Product Solutions,Liquidity & Account Solutions,Liquidity Position Overview,"Real-time and end-of-day liquidity positions across currencies, entities, and account structures.",Business Performance,#,liquidity-access@company.com,liquidity-analytics@company.com,Jun 2026,Liquidity Analytics,Live
Product Solutions,Liquidity & Account Solutions,Notional Pooling Dashboard,"Notional pool balances, interest optimisation, and overlay structure performance by client.",Specialized and Other,#,liquidity-access@company.com,liquidity-analytics@company.com,Jun 2026,Liquidity Analytics,Live
Product Solutions,Liquidity & Account Solutions,Account Sweeping Analytics,"Zero-balance and target-balance sweeping activity, amounts swept, and frequency by account.",Specialized and Other,#,liquidity-access@company.com,liquidity-analytics@company.com,May 2026,Liquidity Analytics,Live
Product Solutions,Liquidity & Account Solutions,Client Deposit Balances,"Current, savings, and term deposit balance trends by client, currency, and product type.",Business Performance,#,liquidity-access@company.com,liquidity-analytics@company.com,Jun 2026,Liquidity Analytics,Live
Product Solutions,Liquidity & Account Solutions,Interest Income Dashboard,"Interest income earned on client balances decomposed by account type, currency, and client tier.",Business Performance,#,liquidity-access@company.com,liquidity-analytics@company.com,Jun 2026,Liquidity Analytics,Live
Product Solutions,Liquidity & Account Solutions,LCR & NSFR Monitor,Liquidity Coverage Ratio and Net Stable Funding Ratio trends against regulatory thresholds.,Specialized and Other,#,liquidity-access@company.com,liquidity-analytics@company.com,Jun 2026,Liquidity Analytics,Live
Product Solutions,Liquidity & Account Solutions,Client Account Utilisation,"Account activity rates, dormancy flags, and multi-currency account usage by client segment.",Relationship Intelligence,#,liquidity-access@company.com,liquidity-analytics@company.com,Apr 2026,Liquidity Analytics,Live
Product Solutions,Liquidity & Account Solutions,Virtual Account Dashboard,"Virtual account structures, transaction routing, and reconciliation rates for corporate clients.",Specialized and Other,#,liquidity-access@company.com,liquidity-analytics@company.com,Jun 2026,Liquidity Analytics,Live
Product Solutions,Liquidity & Account Solutions,Liquidity RM Activity,"RM engagement on liquidity solutions, client proposals submitted, and mandate win rates.",Employee Performance,#,liquidity-access@company.com,liquidity-analytics@company.com,May 2026,Liquidity Analytics,Live
Product Solutions,Liquidity & Account Solutions,Liquidity Product Revenue,"Revenue from pooling, sweeping, and account management fees by client and product.",Business Performance,#,liquidity-access@company.com,liquidity-analytics@company.com,Jun 2026,Liquidity Analytics,Live
Product Solutions,TSFX,FX Volume & Revenue,"Total FX transaction volumes and revenue by currency pair, client type, and execution channel.",Business Performance,#,fx-access@company.com,fx-analytics@company.com,Jun 2026,FX Analytics,Live
Product Solutions,TSFX,FX Client Activity,"FX dealing frequency, ticket sizes, and product mix per client with wallet share estimates.",Relationship Intelligence,#,fx-access@company.com,fx-analytics@company.com,Jun 2026,FX Analytics,Live
Product Solutions,TSFX,Spot & Forward Analytics,"Spot vs forward booking split, average tenor, and margin analysis by currency and client tier.",Business Performance,#,fx-access@company.com,fx-analytics@company.com,May 2026,FX Analytics,Live
Product Solutions,TSFX,FX RM Performance,"RM-level FX revenue, client coverage, deal volumes, and spread margins against targets.",Employee Performance,#,fx-access@company.com,fx-analytics@company.com,Jun 2026,FX Analytics,Live
Product Solutions,TSFX,FX Hedging Solutions Dashboard,"Client hedging programme uptake, notional hedged amounts, and P&L impact of hedges.",Specialized and Other,#,fx-access@company.com,fx-analytics@company.com,Jun 2026,FX Analytics,Live
Product Solutions,TSFX,Currency Risk Exposure,"Open FX positions, VaR estimates, and currency concentration risk across the FX book.",Specialized and Other,#,fx-access@company.com,fx-analytics@company.com,Jun 2026,FX Analytics,Live
Product Solutions,TSFX,FX Platform Usage,"Client self-service FX portal adoption, online deal volumes, and drop-off funnel analysis.",Business Performance,#,fx-access@company.com,fx-analytics@company.com,Apr 2026,FX Analytics,Live
Product Solutions,TSFX,FX Spread Analysis,"Bid-offer spread trends by currency pair, deal size, and client segment with benchmark comparison.",Specialized and Other,#,fx-access@company.com,fx-analytics@company.com,Jun 2026,FX Analytics,Live
Product Solutions,TSFX,Options & Derivatives Monitor,"FX options and structured product volumes, premium income, and Greeks exposure summary.",Specialized and Other,#,fx-access@company.com,fx-analytics@company.com,May 2026,FX Analytics,Live
Product Solutions,TSFX,FX Relationship Intelligence,"Wallet penetration, competitor share estimates, and cross-sell opportunities for FX clients.",Relationship Intelligence,#,fx-access@company.com,fx-analytics@company.com,Jun 2026,FX Analytics,Live
Product Solutions,Receivables,Receivables Volume Dashboard,"Total receivables processed by payment type, channel, and client with daily trend analysis.",Business Performance,#,recv-access@company.com,receivables-analytics@company.com,Jun 2026,Receivables Analytics,Live
Product Solutions,Receivables,Collection Efficiency Monitor,"Days Sales Outstanding trends, collection success rates, and ageing bucket analysis by client.",Business Performance,#,recv-access@company.com,receivables-analytics@company.com,Jun 2026,Receivables Analytics,Live
Product Solutions,Receivables,Receivables Revenue,"Fee income from collection mandates, virtual accounts, and reconciliation services.",Business Performance,#,recv-access@company.com,receivables-analytics@company.com,May 2026,Receivables Analytics,Live
Product Solutions,Receivables,Client Reconciliation Rates,"Auto-reconciliation rates, exception volumes, and manual matching effort by client and channel.",Specialized and Other,#,recv-access@company.com,receivables-analytics@company.com,Jun 2026,Receivables Analytics,Live
Product Solutions,Receivables,ECS & NACH Performance,"ECS/NACH mandate registration rates, success rates, and return analysis by reject reason.",Specialized and Other,#,recv-access@company.com,receivables-analytics@company.com,Jun 2026,Receivables Analytics,Live
Product Solutions,Receivables,RM Receivables Activity,"RM client engagement on receivables solutions, mandate wins, and revenue per RM.",Employee Performance,#,recv-access@company.com,receivables-analytics@company.com,Apr 2026,Receivables Analytics,Live
Product Solutions,Receivables,Lockbox Processing Stats,"Lockbox volumes, cheque clearing cycles, and exception handling rates by processing centre.",Specialized and Other,#,recv-access@company.com,receivables-analytics@company.com,Jun 2026,Receivables Analytics,Live
Product Solutions,Receivables,Receivables Client Wallet,"Share of client receivables wallet, competitor analysis, and cross-sell penetration.",Relationship Intelligence,#,recv-access@company.com,receivables-analytics@company.com,May 2026,Receivables Analytics,Live
Product Solutions,Receivables,Digital Receivables Adoption,"Adoption of digital receivables solutions including QR, payment links, and API integrations.",Business Performance,#,recv-access@company.com,receivables-analytics@company.com,Jun 2026,Receivables Analytics,Live
Product Solutions,Receivables,Receivables SLA Compliance,"Credit turnaround times, same-day vs next-day credits, and SLA breach analysis.",Specialized and Other,#,recv-access@company.com,receivables-analytics@company.com,Jun 2026,Receivables Analytics,Live
Product Solutions,Payables,Payables Volume & Value,"Total payment instructions processed by payment type, currency, and client with trend analysis.",Business Performance,#,pay-access@company.com,payables-analytics@company.com,Jun 2026,Payables Analytics,Live
Product Solutions,Payables,Payment Success Rates,"Transaction success, failure, and return rates by payment rail, bank, and reason code.",Specialized and Other,#,pay-access@company.com,payables-analytics@company.com,Jun 2026,Payables Analytics,Live
Product Solutions,Payables,Payables Revenue Dashboard,"Fee income from payment services, bulk disbursements, and value-added payables solutions.",Business Performance,#,pay-access@company.com,payables-analytics@company.com,May 2026,Payables Analytics,Live
Product Solutions,Payables,Bulk Disbursement Tracker,"Salary, vendor, and dividend disbursement volumes, processing times, and SLA adherence.",Business Performance,#,pay-access@company.com,payables-analytics@company.com,Jun 2026,Payables Analytics,Live
Product Solutions,Payables,RTGS & NEFT Analytics,"RTGS and NEFT transaction volumes, value bands, and processing windows by client segment.",Specialized and Other,#,pay-access@company.com,payables-analytics@company.com,Jun 2026,Payables Analytics,Live
Product Solutions,Payables,Payables RM Performance,"RM client meetings, mandates won, and payables revenue per relationship manager.",Employee Performance,#,pay-access@company.com,payables-analytics@company.com,Apr 2026,Payables Analytics,Live
Product Solutions,Payables,Supplier Finance Dashboard,"Supplier onboarding, early payment utilisation, and programme yield for payables finance programmes.",Specialized and Other,#,pay-access@company.com,payables-analytics@company.com,Jun 2026,Payables Analytics,Live
Product Solutions,Payables,Payables Client Wallet,Share of client payables wallet by payment type with opportunity sizing for uncaptured flows.,Relationship Intelligence,#,pay-access@company.com,payables-analytics@company.com,May 2026,Payables Analytics,Live
Product Solutions,Payables,Vendor Payment Analytics,"Vendor payment frequency, average payment days, and discount capture rates for client portfolios.",Relationship Intelligence,#,pay-access@company.com,payables-analytics@company.com,Jun 2026,Payables Analytics,Live
Product Solutions,Payables,Payables Fraud Monitor,"Suspicious payment alerts, mule account flags, and fraud prevention outcomes by channel.",Specialized and Other,#,pay-access@company.com,payables-analytics@company.com,Jun 2026,Payables Analytics,Live
Product Solutions,Trade & Working Capital,Working Capital Overview,"Holistic client working capital health — receivables, payables, and inventory cycle metrics.",Business Performance,#,twc-access@company.com,twc-analytics@company.com,Jun 2026,TWC Analytics,Live
Product Solutions,Trade & Working Capital,Invoice Financing Dashboard,"Invoice discounting volumes, approval rates, advance amounts, and fee income by client.",Business Performance,#,twc-access@company.com,twc-analytics@company.com,Jun 2026,TWC Analytics,Live
Product Solutions,Trade & Working Capital,Supply Chain Finance Performance,"SCF programme onboarding, utilisation rates, yield, and supplier adoption by buyer programme.",Business Performance,#,twc-access@company.com,twc-analytics@company.com,May 2026,TWC Analytics,Live
Product Solutions,Trade & Working Capital,Channel Finance Analytics,"Dealer and distributor finance programme utilisation, outstanding amounts, and overdue tracking.",Specialized and Other,#,twc-access@company.com,twc-analytics@company.com,Jun 2026,TWC Analytics,Live
Product Solutions,Trade & Working Capital,Working Capital RM Activity,"RM call activity on working capital solutions, proposals in pipeline, and mandate conversion.",Employee Performance,#,twc-access@company.com,twc-analytics@company.com,Jun 2026,TWC Analytics,Live
Product Solutions,Trade & Working Capital,Factoring & Forfaiting Monitor,"Factoring portfolio size, advance rates, credit insurance coverage, and collection performance.",Specialized and Other,#,twc-access@company.com,twc-analytics@company.com,Apr 2026,TWC Analytics,Live
Product Solutions,Trade & Working Capital,Client WC Wallet Share,Bank share of client working capital financing with competitive landscape and gap analysis.,Relationship Intelligence,#,twc-access@company.com,twc-analytics@company.com,Jun 2026,TWC Analytics,Live
Product Solutions,Trade & Working Capital,Inventory Finance Dashboard,"Warehouse receipt finance and inventory pledging volumes, valuation, and risk metrics.",Specialized and Other,#,twc-access@company.com,twc-analytics@company.com,May 2026,TWC Analytics,Live
Product Solutions,Trade & Working Capital,WC Revenue Breakdown,"Revenue from working capital products — fees, spreads, and processing income by product line.",Business Performance,#,twc-access@company.com,twc-analytics@company.com,Jun 2026,TWC Analytics,Live
Product Solutions,Trade & Working Capital,Overdue & NPA Tracker,"Overdue amounts, ageing profile, and NPA migration for the working capital portfolio.",Specialized and Other,#,twc-access@company.com,twc-analytics@company.com,Jun 2026,TWC Analytics,Live
